sent_id	sentence	mention	Llama-3	Mistral	Komodo	Merak
597	Tapi kita juga punya kemampuan," tandas mantan Menteri Pemberdayaan BUMN ini.	BUMN	Badan Usaha Milik Negara	Badan Usaha Mil	None	BUMN
423	Battle of Surabaya bakal tercatat dalam buku sejarah sebagai film (panjang) animasi 2D yang pertama ditayangkan di bioskop, dan konon kabarnya bakal tayang pula di sejumlah negara lain berkat jalur distribusi dari Disney.	Surabaya	Kota Surabaya	Kota Surabaya	None	Battle of Surabaya
423	Battle of Surabaya bakal tercatat dalam buku sejarah sebagai film (panjang) animasi 2D yang pertama ditayangkan di bioskop, dan konon kabarnya bakal tayang pula di sejumlah negara lain berkat jalur distribusi dari Disney.	Disney	The Walt Disney Company	Persatuan Film Animasi	Walt Disney Pictures	Walt Disney Studios
290	Dijelaskan Anthoni, dalam rangka menekan kerugian akibat kurs, Indofood juga tetap mempertahankan hedging policy-nya, dimana per 30 Juni 2004 memiliki kontrak lindung nilai Principal Only Swap (POS) sebesar US $ 250 juta.	Anthoni	None	Anthoni Salim	None	Anthoni
290	Dijelaskan Anthoni, dalam rangka menekan kerugian akibat kurs, Indofood juga tetap mempertahankan hedging policy-nya, dimana per 30 Juni 2004 memiliki kontrak lindung nilai Principal Only Swap (POS) sebesar US $ 250 juta.	Indofood	PT Indofood Sukses Makmur	Perusahaan Makanan Indofood	None	Indofood Sukses Makmur Tbk
197	Ya, kami hargai karena itu prerogatif Jokowi sebagai Presiden," sebutnya.	Jokowi	Joko Widodo	President Joko Widodo	None	Joko Widodo
747	Mega mengenakan kain kebaya merah lengan panjang dan kain songket merah, dan Prabowo mengenakan safari krem lengan pendek.	Mega	Megawati Sukarnoputri	Mega	Mega Tjahyono	Mega
747	Mega mengenakan kain kebaya merah lengan panjang dan kain songket merah, dan Prabowo mengenakan safari krem lengan pendek.	Prabowo	Prabowo Subianto	Prabowo Subianto	Prabowo Subianto	Prabowo Subianto
858	Menteri Pendidikan dan Kebudayaan Anies Baswedan mencanangkan kebijakan baru untuk jajaran di kantornya.	Anies Baswedan	Anies Rasyid Baswedan	Menteri Pendidikan dan Kebudaya	Anies Baswedan	Anies Baswedan
1611	Hingga pekan ke-18, awal Januari lalu, Inter masih berada di posisi teratas klasemen.	Inter	Internazionale	Inter Milan	Inter Milan	Inter Milan
1630	Ikut mendampingi Risma, di antaranya adalah Kepala Dinas Pekerjaan Umum Bina Marga dan Pematusan Erna Purnawati dan Camat Bulak Suprayitno.	Risma	None	Erna Purnawati	Risma	Risma Sari Dewi
1630	Ikut mendampingi Risma, di antaranya adalah Kepala Dinas Pekerjaan Umum Bina Marga dan Pematusan Erna Purnawati dan Camat Bulak Suprayitno.	Bulak	Kecamatan Bulak	Camat Bulak	None	Camat Bulak Suprayitno
1630	Ikut mendampingi Risma, di antaranya adalah Kepala Dinas Pekerjaan Umum Bina Marga dan Pematusan Erna Purnawati dan Camat Bulak Suprayitno.	Suprayitno	None	Camat Bulak Suprayitno	Camat Bulak Suprayit	Suprayitno
1001	Jika Android dipercaya untuk menggarap 50% ponsel pintar anyar Samsung, maka Bada hanya 33%.	Android	Android Operating System	None	Android is an operating	Android
1001	Jika Android dipercaya untuk menggarap 50% ponsel pintar anyar Samsung, maka Bada hanya 33%.	Samsung	Samsung Electronics	Samsung Electronics	None	Samsung Electronics Co. Ltd
1345	Seperti misteri ponsel Zune dan sistem operasi Windows Mobile 7 besutan Microsoft hingga menanti gertakan Bada, OS jagoan Samsung.	Microsoft	Microsoft Corporation	Perserikatan Microsoft	None	Microsoft Corporation
1345	Seperti misteri ponsel Zune dan sistem operasi Windows Mobile 7 besutan Microsoft hingga menanti gertakan Bada, OS jagoan Samsung.	Samsung	None	Samsung Electronics	None	Samsung Electronics Co. Ltd
1681	Memang dalam agenda kunjungan Jokowi ke Ambon, tidak ada jadwal mengunjungi pusat perbelanjaan.	Jokowi	Joko Widodo	Presiden Joko Widodo	None	Joko Widodo
1681	Memang dalam agenda kunjungan Jokowi ke Ambon, tidak ada jadwal mengunjungi pusat perbelanjaan.	Ambon	Kota Ambon	Kota Ambon	None	Ambon
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	PSG	Paris Saint	None	None	Paris Saint-Germain Football Club
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Ibra	None	Ibrahimovic	None	Zlatan Ibrahimovic
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Adrien Rabiot	None	Adrien Rabiot	None	Adrien Rabiot
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	City	Manchester City	Manchester City	None	Paris Saint-Germain
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Kevin De Bruyne	None	Kevin De Bruyne	None	Kevin
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Fernandinho	Fernando Luiz Roza	Fernandinho Silva Lopes Moreira	None	Fernandinho
2050	Sebelumnya, Menhub Ignasius Jonan juga menerangkan persoalan sebenarnya bukan pada penenerapan aplikasi atau tidak, tapi sarana transportasi yang digunakan.	Ignasius Jonan	Ignasius Jonan	Menhub	Ignasius Sofyan Jonan	Ignasius Jonan
71	Seperti diketahui, Apple dan Samsung saling menggugat di sejumlah negara.	Apple	None	Perserikatan Apple dan Samsung	None	Apple Inc
71	Seperti diketahui, Apple dan Samsung saling menggugat di sejumlah negara.	Samsung	Samsung Electronics	Samsung Electronics	None	Samsung Electronics Co. Ltd
1138	Telkom memperkirakan ada 850 ribu pelanggan Flexi yang menggunakan handset 1900 Megahertz.	Telkom	PT Telekomunikasi Indonesia	Persero Teknologi Telekomunikasi Indonesia	None	Telkom Indonesia Tbk
1513	Menteri Hukum dan HAM Yasonna Laoly meminta tambahan anggaran untuk membangun lembaga pemasyarakatan (lapas).	Yasonna Laoly	Yasonna Hamonangan Laoly	Menteri Huk	Yasonna Haris Laoly	Menteri Hukum dan HAM Yasonna Laoly
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	Lee Yong Dae	Lee Yong	Yoo Yeon Seong	Lee Youngdae	Lee
