sent_id	sentence	entity	uri
389	"Katakanlah ( Nabi Muhammad )  "" Siapa yang menjadi musuh Jibril ? """	Muhammad	http://www.wikidata.org/entity/Q9458
389	"Katakanlah ( Nabi Muhammad )  "" Siapa yang menjadi musuh Jibril ? """	Jibril	http://www.wikidata.org/entity/Q3467762
1252	Cukuplah Allah sebagai pengawas .	Allah	http://www.wikidata.org/entity/Q2095353
2260	"Mereka menjawab  "" Benar . "" Kemudian penyeru ( malaikat ) mengumumkan di antara mereka  "" Laknat Allah bagi orang-orang yang zalim . "" ( Mereka adalah ) orang-orang yang menghalang-halangi ( orang lain ) dari jalan Allah serta menginginkan jalan itu menjadi bengkok dan mereka itu orang-orang yang mengingkari ( kehidupan ) akhirat . Di antara keduanya ( para penghuni surga dan neraka ) ada batas pemisah dan di atas tempat yang tertinggi ( al-a ' rāf ) ada orang-orang yang saling mengenal dengan tandanya masing-masing ."	Allah	http://www.wikidata.org/entity/Q2095353
2260	"Mereka menjawab  "" Benar . "" Kemudian penyeru ( malaikat ) mengumumkan di antara mereka  "" Laknat Allah bagi orang-orang yang zalim . "" ( Mereka adalah ) orang-orang yang menghalang-halangi ( orang lain ) dari jalan Allah serta menginginkan jalan itu menjadi bengkok dan mereka itu orang-orang yang mengingkari ( kehidupan ) akhirat . Di antara keduanya ( para penghuni surga dan neraka ) ada batas pemisah dan di atas tempat yang tertinggi ( al-a ' rāf ) ada orang-orang yang saling mengenal dengan tandanya masing-masing ."	Allah	http://www.wikidata.org/entity/Q2095353
586	Namun  jika mereka berhenti ( memusuhimu )  sesungguhnya Allah Maha Pengampun lagi Maha Penyayang .	Allah	http://www.wikidata.org/entity/Q2095353
138	"( Nabi Muhammad )  "" Panggillah ( berhala-berhalamu ) yang kamu anggap sekutu Allah  kemudian lakukanlah tipu daya ( untuk mencelakakan ) - ku dan jangan kamu tunda lagi . Sesungguhnya pelindungku adalah Allah yang telah menurunkan kitab suci ( Al-Qur'an ) ."	Muhammad	http://www.wikidata.org/entity/Q9458
138	"( Nabi Muhammad )  "" Panggillah ( berhala-berhalamu ) yang kamu anggap sekutu Allah  kemudian lakukanlah tipu daya ( untuk mencelakakan ) - ku dan jangan kamu tunda lagi . Sesungguhnya pelindungku adalah Allah yang telah menurunkan kitab suci ( Al-Qur'an ) ."	Allah	http://www.wikidata.org/entity/Q2095353
138	"( Nabi Muhammad )  "" Panggillah ( berhala-berhalamu ) yang kamu anggap sekutu Allah  kemudian lakukanlah tipu daya ( untuk mencelakakan ) - ku dan jangan kamu tunda lagi . Sesungguhnya pelindungku adalah Allah yang telah menurunkan kitab suci ( Al-Qur'an ) ."	Allah	http://www.wikidata.org/entity/Q2095353
138	"( Nabi Muhammad )  "" Panggillah ( berhala-berhalamu ) yang kamu anggap sekutu Allah  kemudian lakukanlah tipu daya ( untuk mencelakakan ) - ku dan jangan kamu tunda lagi . Sesungguhnya pelindungku adalah Allah yang telah menurunkan kitab suci ( Al-Qur'an ) ."	Al-Qur'an	http://www.wikidata.org/entity/Q428
