sent_id	mention	sentence	mention expansion
597	BUMN	Tapi kita juga punya kemampuan," tandas mantan Menteri Pemberdayaan BUMN ini.	Badan Usaha Milik Negara
423	Surabaya	Battle of Surabaya bakal tercatat dalam buku sejarah sebagai film (panjang) animasi 2D yang pertama ditayangkan di bioskop, dan konon kabarnya bakal tayang pula di sejumlah negara lain berkat jalur distribusi dari Disney.	Kota Surabaya
423	Disney	Battle of Surabaya bakal tercatat dalam buku sejarah sebagai film (panjang) animasi 2D yang pertama ditayangkan di bioskop, dan konon kabarnya bakal tayang pula di sejumlah negara lain berkat jalur distribusi dari Disney.	Walt Disney Pictures
290	Anthoni	Dijelaskan Anthoni, dalam rangka menekan kerugian akibat kurs, Indofood juga tetap mempertahankan hedging policy-nya, dimana per 30 Juni 2004 memiliki kontrak lindung nilai Principal Only Swap (POS) sebesar US $ 250 juta.	Anthoni
290	Indofood	Dijelaskan Anthoni, dalam rangka menekan kerugian akibat kurs, Indofood juga tetap mempertahankan hedging policy-nya, dimana per 30 Juni 2004 memiliki kontrak lindung nilai Principal Only Swap (POS) sebesar US $ 250 juta.	PT Indofood Sukses Makmur
197	Jokowi	Ya, kami hargai karena itu prerogatif Jokowi sebagai Presiden," sebutnya.	Joko Widodo
747	Mega	Mega mengenakan kain kebaya merah lengan panjang dan kain songket merah, dan Prabowo mengenakan safari krem lengan pendek.	Mega Tjahyono
747	Prabowo	Mega mengenakan kain kebaya merah lengan panjang dan kain songket merah, dan Prabowo mengenakan safari krem lengan pendek.	Prabowo Subianto
858	Anies Baswedan	Menteri Pendidikan dan Kebudayaan Anies Baswedan mencanangkan kebijakan baru untuk jajaran di kantornya.	Anies Baswedan
1611	Inter	Hingga pekan ke-18, awal Januari lalu, Inter masih berada di posisi teratas klasemen.	Internazionale
1630	Risma	Ikut mendampingi Risma, di antaranya adalah Kepala Dinas Pekerjaan Umum Bina Marga dan Pematusan Erna Purnawati dan Camat Bulak Suprayitno.	Risma
1630	Bulak	Ikut mendampingi Risma, di antaranya adalah Kepala Dinas Pekerjaan Umum Bina Marga dan Pematusan Erna Purnawati dan Camat Bulak Suprayitno.	Kecamatan Bulak
1630	Suprayitno	Ikut mendampingi Risma, di antaranya adalah Kepala Dinas Pekerjaan Umum Bina Marga dan Pematusan Erna Purnawati dan Camat Bulak Suprayitno.	Camat Bulak Suprayit
1001	Android	Jika Android dipercaya untuk menggarap 50% ponsel pintar anyar Samsung, maka Bada hanya 33%.	Android is an operating
1001	Samsung	Jika Android dipercaya untuk menggarap 50% ponsel pintar anyar Samsung, maka Bada hanya 33%.	Samsung Electronics
1345	Microsoft	Seperti misteri ponsel Zune dan sistem operasi Windows Mobile 7 besutan Microsoft hingga menanti gertakan Bada, OS jagoan Samsung.	Microsoft Corporation
1345	Samsung	Seperti misteri ponsel Zune dan sistem operasi Windows Mobile 7 besutan Microsoft hingga menanti gertakan Bada, OS jagoan Samsung.	Samsung
1681	Jokowi	Memang dalam agenda kunjungan Jokowi ke Ambon, tidak ada jadwal mengunjungi pusat perbelanjaan.	Joko Widodo
1681	Ambon	Memang dalam agenda kunjungan Jokowi ke Ambon, tidak ada jadwal mengunjungi pusat perbelanjaan.	Kota Ambon
1577	PSG	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Paris Saint
1577	Ibra	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Ibra
1577	Adrien Rabiot	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Adrien Rabiot
1577	City	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Manchester City
1577	Kevin De Bruyne	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Kevin De Bruyne
1577	Fernandinho	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Fernando Luiz Roza
