sent_id	sentence	mention	mention expansion
597	Tapi kita juga punya kemampuan," tandas mantan Menteri Pemberdayaan BUMN ini.	BUMN	Badan Usaha Milik Negara
423	Battle of Surabaya bakal tercatat dalam buku sejarah sebagai film (panjang) animasi 2D yang pertama ditayangkan di bioskop, dan konon kabarnya bakal tayang pula di sejumlah negara lain berkat jalur distribusi dari Disney.	Surabaya	Kota Surabaya
423	Battle of Surabaya bakal tercatat dalam buku sejarah sebagai film (panjang) animasi 2D yang pertama ditayangkan di bioskop, dan konon kabarnya bakal tayang pula di sejumlah negara lain berkat jalur distribusi dari Disney.	Disney	The Walt Disney Company
290	Dijelaskan Anthoni, dalam rangka menekan kerugian akibat kurs, Indofood juga tetap mempertahankan hedging policy-nya, dimana per 30 Juni 2004 memiliki kontrak lindung nilai Principal Only Swap (POS) sebesar US $ 250 juta.	Anthoni	None
290	Dijelaskan Anthoni, dalam rangka menekan kerugian akibat kurs, Indofood juga tetap mempertahankan hedging policy-nya, dimana per 30 Juni 2004 memiliki kontrak lindung nilai Principal Only Swap (POS) sebesar US $ 250 juta.	Indofood	PT Indofood Sukses Makmur
197	Ya, kami hargai karena itu prerogatif Jokowi sebagai Presiden," sebutnya.	Jokowi	Joko Widodo
747	Mega mengenakan kain kebaya merah lengan panjang dan kain songket merah, dan Prabowo mengenakan safari krem lengan pendek.	Mega	Megawati Sukarnoputri
747	Mega mengenakan kain kebaya merah lengan panjang dan kain songket merah, dan Prabowo mengenakan safari krem lengan pendek.	Prabowo	Prabowo Subianto
858	Menteri Pendidikan dan Kebudayaan Anies Baswedan mencanangkan kebijakan baru untuk jajaran di kantornya.	Anies Baswedan	Anies Rasyid Baswedan
1611	Hingga pekan ke-18, awal Januari lalu, Inter masih berada di posisi teratas klasemen.	Inter	Internazionale
1630	Ikut mendampingi Risma, di antaranya adalah Kepala Dinas Pekerjaan Umum Bina Marga dan Pematusan Erna Purnawati dan Camat Bulak Suprayitno.	Risma	None
1630	Ikut mendampingi Risma, di antaranya adalah Kepala Dinas Pekerjaan Umum Bina Marga dan Pematusan Erna Purnawati dan Camat Bulak Suprayitno.	Bulak	Kecamatan Bulak
1630	Ikut mendampingi Risma, di antaranya adalah Kepala Dinas Pekerjaan Umum Bina Marga dan Pematusan Erna Purnawati dan Camat Bulak Suprayitno.	Suprayitno	None
1001	Jika Android dipercaya untuk menggarap 50% ponsel pintar anyar Samsung, maka Bada hanya 33%.	Android	Android Operating System
1001	Jika Android dipercaya untuk menggarap 50% ponsel pintar anyar Samsung, maka Bada hanya 33%.	Samsung	Samsung Electronics
1345	Seperti misteri ponsel Zune dan sistem operasi Windows Mobile 7 besutan Microsoft hingga menanti gertakan Bada, OS jagoan Samsung.	Microsoft	Microsoft Corporation
1345	Seperti misteri ponsel Zune dan sistem operasi Windows Mobile 7 besutan Microsoft hingga menanti gertakan Bada, OS jagoan Samsung.	Samsung	None
1681	Memang dalam agenda kunjungan Jokowi ke Ambon, tidak ada jadwal mengunjungi pusat perbelanjaan.	Jokowi	Joko Widodo
1681	Memang dalam agenda kunjungan Jokowi ke Ambon, tidak ada jadwal mengunjungi pusat perbelanjaan.	Ambon	Kota Ambon
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	PSG	Paris Saint
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Ibra	None
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Adrien Rabiot	None
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	City	Manchester City
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Kevin De Bruyne	None
1577	Dua gol PSG dicetak oleh Ibra dan Adrien Rabiot, sementara dua gol City tercatat atas nama Kevin De Bruyne dan Fernandinho.	Fernandinho	Fernando Luiz Roza
2050	Sebelumnya, Menhub Ignasius Jonan juga menerangkan persoalan sebenarnya bukan pada penenerapan aplikasi atau tidak, tapi sarana transportasi yang digunakan.	Ignasius Jonan	Ignasius Jonan
71	Seperti diketahui, Apple dan Samsung saling menggugat di sejumlah negara.	Apple	None
71	Seperti diketahui, Apple dan Samsung saling menggugat di sejumlah negara.	Samsung	Samsung Electronics
1138	Telkom memperkirakan ada 850 ribu pelanggan Flexi yang menggunakan handset 1900 Megahertz.	Telkom	PT Telekomunikasi Indonesia
1513	Menteri Hukum dan HAM Yasonna Laoly meminta tambahan anggaran untuk membangun lembaga pemasyarakatan (lapas).	Yasonna Laoly	Yasonna Hamonangan Laoly
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	Lee Yong Dae	Lee Yong
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	Yoo Yeon Seong	Yoo Yeon
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	Korsel	None
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	Li Junhui	Li Junhui
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	Liu Yuchen	Liu Yuchen
737	Dari nomor ganda putra, Lee Yong Dae/Yoo Yeon Seong (Korsel) memenangi laga final melawan Li Junhui/Liu Yuchen (China).	China	Republik Rakyat Tiongkok
1279	Rencananya rangkaian acara itu akan digelar hari ini, Minggu (13/3) bersama Gubernur DKI Jakarta, Basuki Tjahaja Purnama atau Ahok.	DKI Jakarta	Daerah Khusus Ibukota Jakarta
