sent_id	sentence	entity	uri
1840	Pria kelahiran Bogor, 16 Maret 60 tahun silam itu juga ditunjuk sebagai salah satu direktur Indofood dalam RUPS Juni 2008 silam.	Bogor	http://www.wikidata.org/entity/Q10363
1840	Pria kelahiran Bogor, 16 Maret 60 tahun silam itu juga ditunjuk sebagai salah satu direktur Indofood dalam RUPS Juni 2008 silam.	Indofood	http://www.wikidata.org/entity/Q3930665
860	"PKB memantau semua manuver atau gerakan pihak-pihak yang ingin mendelegitimasi Kemendes di bawah Pak Marwan," pungkasnya.	PKB	http://www.wikidata.org/entity/Q1257317
860	"PKB memantau semua manuver atau gerakan pihak-pihak yang ingin mendelegitimasi Kemendes di bawah Pak Marwan," pungkasnya.	Kemendes	http://www.wikidata.org/entity/Q11049125
860	"PKB memantau semua manuver atau gerakan pihak-pihak yang ingin mendelegitimasi Kemendes di bawah Pak Marwan," pungkasnya.	Marwan	http://www.wikidata.org/entity/Q17410695
74	Benzema menjadi striker Prancis tertajam di lima liga besar Eropa.	Benzema	http://www.wikidata.org/entity/Q1912
74	Benzema menjadi striker Prancis tertajam di lima liga besar Eropa.	Prancis	http://www.wikidata.org/entity/Q142
74	Benzema menjadi striker Prancis tertajam di lima liga besar Eropa.	Eropa	http://www.wikidata.org/entity/Q46
1909	"KPPU merekomendasikan dihilangkan, karena ini menghambat taksi konvensional bersaing menerapkan tarif rendah," jelas Ketua KPPU M.	KPPU	http://www.wikidata.org/entity/Q4196828
1909	"KPPU merekomendasikan dihilangkan, karena ini menghambat taksi konvensional bersaing menerapkan tarif rendah," jelas Ketua KPPU M.	KPPU	http://www.wikidata.org/entity/Q4196828
448	UGM yang menggelar aksi sejak siang hari, saat ini masih bertahan di depan Balairung.	UGM	http://www.wikidata.org/entity/Q1145992
1355	"Kami sangat menikmati membuat ' Frozen Fever ', dan kami ingin kembali lagi dengan karakter-karakter itu," buka Chief Creative Officer Walt Disney dan Pixar Animation Studios, John Lasseter.	Walt Disney	https://www.wikidata.org/wiki/Q7414
1355	"Kami sangat menikmati membuat ' Frozen Fever ', dan kami ingin kembali lagi dengan karakter-karakter itu," buka Chief Creative Officer Walt Disney dan Pixar Animation Studios, John Lasseter.	Pixar Animation Studios	http://www.wikidata.org/entity/Q127552
1355	"Kami sangat menikmati membuat ' Frozen Fever ', dan kami ingin kembali lagi dengan karakter-karakter itu," buka Chief Creative Officer Walt Disney dan Pixar Animation Studios, John Lasseter.	John Lasseter	http://www.wikidata.org/entity/Q269214
1765	Ducati belum memutuskan siapa yang akan jadi tandem Jorge Lorenzo di musim depan.	Ducati	http://www.wikidata.org/entity/Q910674
1765	Ducati belum memutuskan siapa yang akan jadi tandem Jorge Lorenzo di musim depan.	Jorge Lorenzo	http://www.wikidata.org/entity/Q241112
524	Wakil Sekretaris Jenderal PKB Jazilul Fawaid mengatakan ada pihak-pihak yang menciptakan opini untuk mengarahkan pemberitaan reshuffle terhadap kader PKB yang menjabat sebagai menteri di Kabinet Kerja.	PKB	http://www.wikidata.org/entity/Q1257317
