sent_id	uri	mention	final sentence
1	Q152886	Lars	Lars adalah saudara kembar Sven Bender yang bermain di Borussia Dortmund.
2	Q12485347	Harry	Selain itu, Harry juga adalah mantan suami dari penyanyi dangdut Camelia Malik yang bercerai pada tahun 2013 dan pernah bersama-sama mengelola production house Persari, yang dirintis oleh mertuanya, Jamaludin Malik, pada era 60an.
3	Q12491585	Khairul	Saat ini, Khairul menjabat sebagai menjadi Komisaris PT Semen Padang dan anggota Dewan Pendidikan Sumatera Barat.
4	Q12495114	Lola	Lola memulai kariernya dari modeling dengan meraih penghargaan juara busana nasional terbaik pada pemilihan Wajah Femina tahun 1997.
5	Q12486783	Irwan	Irwan saat ini bermain untuk Persib Bandung.
6	Q497773	Roman Yang Agung	Dengan merebut takhta Halych, Roman Yang Agung menajdi penguasa seluruh Rus barat.
7	Q2570788	Mochtar	Mochtar adalah seorang kritikus Soekarno dan dipenjarakan olehnya, serta oleh Soeharto pada beberapa kesempatan berikutnya.
8	Q2293140	Dominique W. Berretty	Dominique W. Berretty juga direktur perusahaan pers ANETA.
9	Q150651	George	George kerap mengambil topik masalah-masalah politik di Amerika Serikat yang sedang populer dan menyindir secara tajam efek-efek negatif dari kebudayaan Amerika.
10	Q44100	Walter	Walter merupakan Presiden Emeritus Dewan Kepausan bagi Kemajuan Persatuan Kristen, yang menjabat sebagai presidennya dari 2001 sampai 2010.
11	Q12472055	Andreano	Andreano juga pemenang kontes Mister Indonesia yang pertama pada tahun 2006.
12	Q51673	Markus	Markus dikenal karena hubungan eratnya dengan Julius Caesar, perannya dalam Perang Saudara Romawi, serta hubungannya dengan Cleopatra, Ratu Mesir.
13	Q17410879	Zulkifli	Zulkifli merupakan Gubernur Jambi dua periode 1999–2004 dan 2005–2010.
14	Q464700	Winston	Winston juga menulis banyak karya nonfiksi, tentang beragam topik termasuk Perang Saudara Amerika dan Perang Dunia I.
15	Q314553	Robert	Robert adalah pemenang berganda dari Penghargaan Hugo dan Penghargaan Nebula, anggota Science Fiction and Fantasy Hall of Fame, dan seorang Grand Master of SF.
16	Q153909	Milovan	Milovan adalah tokoh kunci dalam gerakan Partisan selama Perang Dunia II dan juga pada masa pemerintahan paska perang.
17	Q317765	Bimbisara	Bimbisara membangun kota Rajgir, yang terkenal dengan tulisan-tulisan Buddhisme.
18	Q926420	Robbie	Robbie dikenal karena berperan sebagai Stephen Jameson di seri The CW, The Tomorrow People, sebagai Ronnie Raymond/Firestorm di The Flash, sebagai Nathan Brown di Upload, sebagai Fred Jones di film Scooby-Doo!
19	Q662482	Takeda	setelah kakaknya Takeda Yoshinobu meninggal dunia, anaknya Takeda Nobushige menjadi pewaris klan Takeda, membuat Takeda menjadi penguasa yang sebenarnya di klan Takeda.
20	Q2871643	Raden Mas Noto Soeroto	Raden Mas Noto Soeroto juga dikenal sebagai penyair Jawa pertama yang karya-karyanya secara signifikan berkontribusi pada sistem sastra Belanda dengan mengeksplorasi tema-tema sastra baru dan berfokus pada protagonis pribumi, pada saat yang sama menarik perhatian pada budaya pribumi dan penderitaan pribumi.
21	Q4262889	Limbad	Atraksi-atraksi yang disuguhkan Limbad, diadaptasi dari Criss Angel melalui acaranya yang berjudul Criss Angel Mindfreak.
22	Q1196055	Morea	Wilayah tersebut juga merujuk kepada sebuah provinsi Bizantium di wilayah tersebut, yang dikenal sebagai Kedespotan Morea.
23	Q130798	Kendrick	Pada waktu itu, Kendrick telah bekerjasama dengan beberapa seniman terkemuka di industri hip hop, termasuk The Game, Snoop Dogg, dan Busta Rhymes.
24	Q294812	Matthew	Nama Matthew dikenal berkat perannya di beberapa produksi teater Broadway, seperti perannya sebagai Link Larkin di Hairspray.
25	Q159923	Proust	Proust paling dikenal karena menemukan hukum komposisi konstan pada 1799.
26	Q43330	Mikhail	Sebuah isyarat yang Mikhail jelaskan dengan kesediaannya untuk berjuang bersama rekan-rekannya di negara itu.
27	Q352180	Bradley	Bradley berperan sebagai Danny Tripp dalam serial televisi Studio 60 on the Sunset Strip, Dan Stark dalam serial televisi komedi The Good Guys dari Fox, Timothy Carter dalam serial televisi The Mentalist dari CBS, antagonis Eric Gordon dalam film Billy Madison dan Dean Armitage dalam film horor Get Out.
28	Q223839	Larry	Larry telah bertarung pada beberapa pertikaian hukum penting yang melibatkan Amendemen Pertama, dan gagal maju untuk jabatan publik.
29	Q1698	Serge	Dianggap sebagai salah satu tokoh terpenting dalam musik populer Prancis, Serge terkenal karena rilisannya yang sering provokatif dan memalukan, serta hasil karya artistiknya yang mewujudkan beragam genre musik yang mulai dari jazz, mambo, world, chanson, pop dan yé-yé, ke musik rock and roll, progressive rock, reggae, Elektornik, disko,
30	Q241750	Ed	Ed meninggal pada usia 65 pada 12 Desember 2017 karena gagal jantung.
31	Q935	Isaac	Dalam bidang optika, Isaac berhasil membangun teleskop pemantul yang pertama dan mengembangkan teori warna berdasarkan pengamatan bahwa sebuah kaca prisma akan membagi cahaya putih menjadi warna-warna lainnya.
32	Q259317	Amy	Kritik terhadap media korporasi, dan liputan biasa atas topik-topik yang terkait dengan kegiatan anti perang dan gerakan anti globalisasi adalah ciri khas Amy dan Democracy Now!.
33	Q559898	Disanayaka Mudiyanselage Jayaratne	Disanayaka Mudiyanselage Jayaratne menjadi Perdana Menteri pada tanggal 21 April 2010.
34	Q12496114	Mahesa	Menurut Negarakertagama tokoh ini bergelar Sri Bhatara Parameswara yang merupakan ayah dari Narasinghamurti, leluhur raja-raja Majapahit.Mahesa diketahui menikahi Ken Rimbi yang merupakan putri dari Ken Umang.
35	Q172712	Giancarlo	Giancarlo saat ini membalap sebagai pembalap tes dan cadangan resmi bagi tim Scuderia Ferrari.
36	Q933750	Gareth	Gareth memulai karier sepak bolanya di klub-klub Irlandia Utara, yaitu Linfield, Ballyclare Comrades, Crusaders, dan Coleraine, sebelum bergabung dengan klub Inggris, Lincoln City, pada musim panas 2004.
37	Q12512145	Saptohoedojo	Pamannya Saptohoedojo adalah seorang penulis Wayang Purwo dan pendiri Balai Pustaka.
38	Q7806784	Annisa Larasati Pohan	Annisa Larasati Pohan juga adalah co-founder dari Yayasan Tunggadewi, sebuah organisasi nirlaba yang fokus pada pemberdayaan perempuan, meningkatkan kesejahteraan anak-anak dan menginspirasi masyarakat untuk selalu peduli terhadap isu-isu sosial yang ada di Tanah Air.
39	Q2642317	Jose Sanchez Del Rio	Jose Sanchez Del Rio dideklarasikan menjadi martir pada 22 Juni 2004 oleh Paus Yohanes Paulus II dan dibeatifikasikan oleh Paus Benediktus XVI - melalui Kardinal-Prefek Kongregasi bagi Penyebab Penganugerahan Gelar Santo-Santa – pada 20 November 2005 di Meksiko.
40	Q1220424	Diego	Diego dikenal karena menulis salah satu buku Barat terawal tentang sejarah dan budaya Aztek, The History of the Indies of New Spain, sebuah buku yang banyak dikritik pada masa hidupnya karena "memanas-manasi" budaya mereka.
41	Q12486873	Ito Sumardi Ds	Penunjukan Ito Sumardi Ds pada 24 November 2009 diumumkan oleh Kadiv Humas Mabes Polri, Irjen Pol Nanan Soekarna.
42	Q12483576	Gatot	Gatot Achmad Safari Amrih, S.H.
43	Q16472	Robert	Robert menerima bintang di Hollywood Walk of Fame pada tahun 1984 dan Golden Globe Cecil B. DeMille Award pada tahun 1992.
44	Q11608	Anne	Anne akhirnya diadili dan dihukum, kemudian diusir dari koloni dengan banyak pendukungnya.
45	Q19745584	Sri Bintang Pamungkas	Sri Bintang Pamungkas juga merupakan pendiri dari Partai Uni Demokrasi Indonesia serta pernah menjadi narapidana pada era Presiden Soeharto.
46	Q312613	Richard Ii Dari Normandia	Selama tahun pertama Richard II dari Normandia memerintah sebagai raja, pemerintah berada ditangan serangkaian dewan.
47	Q16165139	Aji Raja Mandarsyah	Aji Raja Mandarsyah bergelar Aji Raja Mandarsyah di-Mindirsa Raja Kutai Karta Negara ke-4 yang memerintah dari tahun 1420 hingga meninggalnya pada tahun 1475.
48	Q484974	Ibu Suri Agung Yesun	Ibu suri agung Yesun berasal dari keluarga Gyeongju Kim.
49	Q453739	Ansegisel	Melalui putranya, Pippin II, keturunan Ansegisel akhirnya akan menjadi Raja Franka dan memerintah di Kekaisaran Karoling.
50	Q311723	Donnie	Donnie dianggap sebagai aktor laga film Hongkong papan atas.
51	Q585982	Bona	Bona adalah adik kandung dari pemain ganda putra lainnya Markis Kido dan kakak dari pebulu tangkis ganda campuran Pia Zebadiah Bernadet.
52	Q1280678	Manilal	Manilal meninggal karena trombus serebral setelah strok.
53	Q12499374	Muhammad	Muhammad merupakan Gubernur Provinsi Maluku yang ketiga, yang menjabat dari tahun 1960 sampai 1965, setelah menggantikan pejabat sebelumnya, Muhammad Djosan yang menjabat Gubernur dari tahun 1955 sampai 1960.
54	Q68629	Friedrich	Pada 1931 Friedrich menjadi profesor di Breslau, dan 1933 Friedrich pindah dan mengajar sebagai profesor penuh di Georg-August-Universitat.
55	Q160795	David	Sayangnya, karier sepak bolanya David di Real Betis tidak berjalan dengan baik, David hampir jarang bermain karena cedera panjang menimpanya.
56	Q128746	Irving	Selain lagu-lagunya itu, Irving juga mengarang 17 karya musik untuk film dan 21 karya musik Broadway.
57	Q197585	Zhen	Cao Pi menjadikan Zhen sebagai istrinya karena kecantikannya.
58	Q124754	Paus Pius Vii	Paus Pius Vii dilantik sebagai Pius VII pada 21 Maret 1800 dalam sebuah upacara pelantikan Paus Pius Vii yang tidak begitu lazim, karena Paus Pius Vii mengenakan mahkota Kepausan papier-mâché.
59	Q2623887	Hal	Hal memulai karier juniornya di Arsenal kemudian pindah ke Reading, dan memulai karier profesionalnya di klub tersebut.
60	Q4353730	Genyo	Genyo juga membuat permainan arkade pertama Nintendo, EVR Race, pada 1975.
61	Q2628135	Sophie	Dan diinformasikan juga, bahwa Sophie akan tampil dalam versi baru dari karya Charles Dickens, The Old Curiosity Shop.
62	Q8963	Kepler	Kepler, meski perawakannya kecil, memiliki kecerdasan yang memukau dan juga kepribadian yang gigih.
63	Q13097573	Letjen Syamsir Siregar	Letjen Syamsir Siregar lulusan Akademi Militer angkatan 1965 dan berasal dari kesatuan Infanteri - Kostrad.
64	Q82936	Narain	Saat ini Narain turun di ajang Formula 1 bersama tim HRT F1.
65	Q2867626	Asosiasi Universitas India	Tugas asosiasi universitas india antara lain adalah mengevaluasi mata kuliah, silabus, standar, serta kredit universitas luar negeri dan menyamakannya dengan berbagai mata kuliah yang ditawarkan universitas India.
66	Q91904	Lida Gustava Heymann	Bersama dengan rekannya Anita Augspurg, Lida Gustava Heymann adalah salah satu figur paling berpengaruh dalam gerakan wanita burjois.
67	Q217069	Peter	Kematiannya Peter dalam usia 97 tahun dianggap merupakan sebuah pembunuhan.
68	Q338948	Milo Dari Kroton	Milo Dari Kroton menjalani karier gulat yang brilian dan memenangkan banyak kemenangan dalam perayaan-perayaan atletis paling berpengaruh dari Yunani kuno.
69	Q41163	Al	Selain karyanya dalam film, Al juga memiliki karier yang luas di atas panggung teater, Al dua kali memenangkan Tony Award, pada tahun 1969 dan 1977, untuk penampilannya dalam Does a Tiger Wear a Necktie?
70	Q25466212	Ambo	Sebelumnya, Ambo menjabat sebagai Wakil Bupati Tanjung Jabung Timur, pada 2011 hingga 2015.
71	Q8012771	Bill	Rose alias Bill adalah profesor mineralogi, petrologi, dan meteorologi di Universitas Teknologi Michigan.
72	Q816735	Bencion	Bencion menikahi Godlana, putri Miro yang Lebih Tua dari Conflent dan Roussillon.
73	Q16175390	Uty	Saat ini Uty bekerja sebagai pegawai di PT Perusahaan Listrik Negara sejak 2019.
74	Q17411560	Tasiya Soemadi	Pada tanggal 19 Maret 2014 setelah sekian lama akhirnya pasangan Sunjaya-Tasiya Soemadi Soemadi resmi dilantik oleh Gubernur Jawa Barat Ahmad Heryawan di Gedung DPRD Kabupaten Cirebon, Pelantikan dan pengucapan sumpah jabatan digelar dalam rapat paripurna istimewa DPRD Kabupaten Cirebon.
75	Q911096	S. N. Behrman	S. N. Behrman adalah komponis David Behrman.
76	Q16166850	Ananda	Dalam tradisi tekstual Sanskerta, Ananda dianggap sebagai patriark Dhamma yang berdiri dalam garis keturunan spiritual, menerima ajaran dari Mahākassapa dan meneruskannya kepada murid-muridnya.
77	Q108283	Alan	Alan dilahirkan di New York City, New York.
78	Q81215	Petar	Petar memenangi pemilu presiden 1996 yang dicalonkan Union of Democratic Forces.
79	Q51581	Howard	Karya Howard telah mempengaruhi beberapa sutradara terhormat dan populer seperti Martin Scorsese, Robert Altman, John Carpenter, dan Quentin Tarantino.
80	Q16264013	Masafumi	Masafumi merupakan Duta Besar Jepang untuk Indonesia sejak April 2017.
81	Q1607373	Vidhu Vinod Chopra	Vidhu Vinod Chopra adalah pendiri Vinod Chopra Films.
82	Q29516	Theo	Nama Theo menarik perhatian media internasional setelah masuk dalam skuad Inggris pada putaran final Piala Dunia FIFA 2006.
83	Q310369	Freddy	Freddy kini bermain di klub AS Monaco.
84	Q193637	Scottie	Scottie adalah pemain dengan pemegang rekor paling banyak bermain di babak playoff selain Kareem Abdul-Jabbar dan Rober Horry.
85	Q6203135	Jiro	Jiro menjabat sebagai seorang anggota staf bagian urusan domestik Biro Urusan Militer Bagian Urusan Perang.
86	Q311005	Alain	Alain telah menulis tentang ada, kebenaran dan the subjek dalam sebuah cara yang Alain klaim, sebagai bukan postmodern, bukan juga sebagai pengulangan modernisme dari abad pencerahan.
87	Q504627	Barbet	Sejak akhir 1980an, Barbet menyutradarai beberapa film Hollywood berbiaya besar, sering kali memadukan melodrama dengan genre cerita seru dalam film-film seperti Single White Female, Kiss of Death, dan Murder by Numbers.
88	Q358443	Jeff	Pada bulan Maret 2017, laporan berita mengungkapkan bahwa Jeff telah dua kali bertemu dengan Duta Besar Rusia untuk Amerika Serikat, Sergey Kislyak pada tahun 2016.
89	Q455462	Antoine	Bersama Atlético, Antoine memenangkan Liga Eropa UEFA, Piala Super UEFA, Piala Super Spanyol, dan Pemain Terbaik La Liga.
90	Q312525	Hironobu	Pada tahun 1991 Hironobu diberi kehormatan menjabat Wakil Presiden Eksekutif dan tak lama berselang ditunjuk menjadi Presiden Square USA, Inc. Pada tahun 2001, Hironobu mendirikan he Mistwalker, yang mulai beroperasi tiga tahun kemudian.
91	Q443037	Nanthild	Nanthild menjabat sebagai wali penguasa ketika putranya masih bocah pada tahun 639 hingga 642.
92	Q12494361	Forum Silaturahmi Lembaga Dakwah Kampus	Di setiap kampus, Forum Silaturahmi Lembaga Dakwah Kampus bisa berbeda-beda dalam organisasinya, di mana sering digunakan nama yang berbeda, antara lain Unit Kegiatan Mahasiswa Islam, Kerohanian Islam, Forum Studi Islam, dan Badan Kerohanian Islam.
93	Q12500185	Natasha	Natasha memulai kariernya dari modeling dengan meraih juara kedua pada pemilihan Gadis Sampul tahun 2008.
94	Q296661	Cyrus	Cyrus adalah ayah dari Jaksa Distrik Manhattan Cyrus, Jr.
95	Q61118680	Ikatan Pelajar Muhammadiyah	Didirikannya Ikatan Pelajar Muhammadiyah diperlukan Muhammadiyah untuk mendukung misi Muhammadiyah di tengah situasi dan kondisi politik Indonesia masa Orde Lama yang sedemikian berat dan sulit.
96	Q591558	Al-Farazdaq	Kakek al-Farazdaq Sa'sa' adalah seorang Badui terkenal, ayahnya Ghalib mengikuti cara hidup yang sama hingga Bashrah didirikan, dan terkenal akan kelemahlembutannya.
97	Q446239	Pieter	Di samping kesibukannya sebagai dokter, Pieter sekali-kali mendatangi tempat penangkapan ikan dan memerikan berbagai jenis ikan yang diperolehnya.
98	Q7450674	Tommy	Tommy merupakan anggota Dewan Perwakilan Rakyat Republik Indonesia dari Partai Kebangkitan Bangsa yang menjabat sejak 1 Oktober 2019.
100	Q596338	Sidney Herbert Ray	Meskipun Sidney Herbert Ray tidak pernah menduduki posisi akademis, dan bekerja sebagai guru sekolah, S. H. Ray merupakan seorang pekerja lapangan yang sangat semangat dalam berbagai ekspedisi.
101	Q49264	Lisa	Lisa menyatakan "tidak bersalah" dan meminta diadili oleh sebuah juri.
102	Q687	Molière	Semasa hidupnya di Paris, Molière benar-benar telah mereformasi komedi Prancis.
103	Q9711	Honore De Balzac	Karya magnum opus Honore de Balzac adalah sebuah sekuens dari cerita pendek dan bermain bersama di dalam teater yang berjudul La Comédie humaine, yang mempertunjukkan panorama kehidupan orang Prancis setelah runtuhnya kekuasaan Napoléon Bonaparte pada tahun 1815.
104	Q2755109	Barbara	Barbara menulis buku-buku tentang Kesatria Kenisah dan mengkhususkan diri dalam sejarah Kain Kafan Torino.
105	Q24184	Don	Karya Don yang paling terkenal adalah The Life and Times of Scrooge McDuck.
106	Q57106	Heinrich	Keluarganya Heinrich tidak kaya, oleh karena itu Heinrich harus bekerja keras untuk membantu biaya hidup sehari-hari.
107	Q152929	Meat	Meat dikenal karena suara kuatnya dan acara-acara panggung teatrikal.
108	Q185343	Mark	Mark paling dikenal sebagai gitaris utama, penyanyi utama dan penulis lagu untuk band rock Dire Straits, yang Mark bentuk bersama dengan adiknya, David Knopfler, pada 1977.
109	Q5686	Charles	Setiap bagian dari cerita yang ditulis Charles sangat diharap-harapkan oleh publik yang membaca ceritanya.
